V1,V2,V3,C4,C3,C2,C1,NOT
,,,31. GREATNESS ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,QUANTITY BY COMPARISON WITH A STANDARD 
,,,32. SMALLNESS ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,QUANTITY BY COMPARISON WITH A STANDARD 
,,,33. SUPERIORITY ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,QUANTITY BY COMPARISON WITH A SIMILAR OBJECT 
,,,34. INFERIORITY ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,QUANTITY BY COMPARISON WITH A SIMILAR OBJECT 
,,,35. INCREASE ,2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,CHANGES IN QUANTITY 
,,,"36. NONINCREASE, DECREASE ",2. COMPARATIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,CHANGES IN QUANTITY 
,,,37. ADDITION ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,"38. NONADDITION, SUBTRACTION ",3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,39. ADJUNCT ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,40. REMAINDER ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,40a. decrement 
,,,41. MIXTURE ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,42. SIMPLENESS ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,43. JUNCTION ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,44. DISJUNCTION ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,45. CONNECTION ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,46. COHERENCE ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,47. INCOHERENCE ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,48. COMBINATION ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,49. DECOMPOSITION ,3. CONJUNCTIVE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,50. WHOLE ,4. CONCRETE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,51. PART ,4. CONCRETE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,52. COMPLETENESS ,4. CONCRETE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,53. INCOMPLETENESS ,4. CONCRETE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,54. COMPOSITION ,4. CONCRETE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,55. EXCLUSION ,4. CONCRETE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,56. COMPONENT ,4. CONCRETE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,57. EXTRANEOUSNESS ,4. CONCRETE QUANTITY ,SECTION III. QUANTITY ,ABSTRACT RELATIONS,
,,,58. ORDER ,1. ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,59. DISORDER ,1. ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,59a. complexity 
,,,60. ARRANGEMENT ,1. ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,61. DERANGEMENT ,1. ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,62. PRECEDENCE ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,63. SEQUENCE ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,64. PRECURSOR ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,65. SEQUEL ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,66. BEGINNING ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,67. END ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,68. MIDDLE ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,69. CONTINUITY ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,70. DISCONTINUITY ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,71. TERM ,2. CONSECUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,72. ASSEMBLAGE ,3. COLLECTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,73. NONASSEMBLAGE DISPERSION ,3. COLLECTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,74. FOCUS ,3. COLLECTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,75. CLASS ,4. DISTRIBUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,76. INCLUSION ,4. DISTRIBUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,77. EXCLUSION ,4. DISTRIBUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,78. GENERALITY ,4. DISTRIBUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,79. SPECIALITY ,4. DISTRIBUTIVE ORDER ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,80. NORMALITY ,5. ORDER AS REGARDS CATEGORIES ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,81. MULTIFORMITY ,5. ORDER AS REGARDS CATEGORIES ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,82. CONFORMITY ,5. ORDER AS REGARDS CATEGORIES ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,83. UNCONFORMITY ,5. ORDER AS REGARDS CATEGORIES ,SECTION IV. ORDER ,ABSTRACT RELATIONS,
,,,84. NUMBER ,"1. NUMBER, IN THE ABSTRACT ",SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,85. NUMERATION ,"1. NUMBER, IN THE ABSTRACT ",SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,86. LIST ,"1. NUMBER, IN THE ABSTRACT ",SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,87. UNITY ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,88. ACCOMPANIMENT ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,89. DUALITY ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,90. DUPLICATION ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,91. BISECTION ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,92. TRIALITY ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,93. TRIPLICATION ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,94. TRISECTION ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,95. FOUR ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,96. QUADRUPLICATION ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,97. QUADRISECTION ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,"98. FIVE, &C ",2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,"99. QUINQUESECTION, &C ",2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,100. PLURALITY ,2. DETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,100a. fraction 
,,,101. ZERO ,3. INDETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,102. MULTITUDE ,3. INDETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,103. FEWNESS ,3. INDETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,104. REPETITION ,3. INDETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,105. INFINITY ,3. INDETERMINATE NUMBER ,SECTION V. NUMBER ,ABSTRACT RELATIONS,
,,,106. TIME ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,107. NEVERNESS ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,108. PERIOD ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,108a. contingent duration 
,,,109. COURSE ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,110. DIUTURNITY ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,111. TRANSIENTNESS ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,112. PERPETUITY ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,113. INSTANTANEITY ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,114. CHRONOMETRY ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,115. ANACHRONISM ,1. ABSOLUTE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,116. PRIORITY ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,1. Time with reference to Succession 
,,,117. POSTERIORITY ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,1. Time with reference to Succession 
,,,118. THE PRESENT TIME ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,1. Time with reference to Succession 
,,,119. DIFFERENT TIME ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,1. Time with reference to Succession 
,,,120. SYNCHRONISM ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,1. Time with reference to Succession 
,,,121. FUTURITY ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,1. Time with reference to Succession 
,,,122. THE PAST ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,1. Time with reference to Succession 
,,,123. NEWNESS ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,124. OLDNESS ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,125. MORNING ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,126. EVENING ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,127. YOUTH ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,128. AGE ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,129. INFANT ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,130. VETERAN ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,131. ADOLESCENCE ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,2. Time with reference to a particular period 
,,,132. EARLINESS ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,3. Time with reference to an Effect or Purpose 132a. punctuality 
,,,133. LATENESS ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,3. Time with reference to an Effect or Purpose 
,,,134. OCCASION ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,3. Time with reference to an Effect or Purpose 
,,,135. UNTIMELINESS ,2. RELATIVE TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,3. Time with reference to an Effect or Purpose 
,,,136. FREQUENCY ,3. RECURRENT TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,137. INFREQUENCY ,3. RECURRENT TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,138. REGULARITY OF RECURRENCE ,3. RECURRENT TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,139. IRREGULARITY OF RECURRENCE ,3. RECURRENT TIME ,SECTION VI. TIME ,ABSTRACT RELATIONS,
,,,140. CHANGE ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,141. PERMANENCE ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,142. CESSATION ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,143. CONTINUANCE IN ACTION ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,144. CONVERSION ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,145. REVERSION ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,146. REVOLUTION ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,147. SUBSTITUTION ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,148. INTERCHANGE ,1. SIMPLE CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,149. CHANGEABLENESS ,2. COMPLEX CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,150. STABILITY ,2. COMPLEX CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,151. EVENTUALITY FUTURE EVENTS ,2. COMPLEX CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,Present Events 
,,,152. DESTINY ,2. COMPLEX CHANGE ,SECTION VII. CHANGE ,ABSTRACT RELATIONS,
,,,153. CAUSE ,1. CONSTANCY OF SEQUENCE IN EVENTS ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,154. EFFECT ,1. CONSTANCY OF SEQUENCE IN EVENTS ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,155. ATTRIBUTION ,1. CONSTANCY OF SEQUENCE IN EVENTS ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,156. CHANCE ,1. CONSTANCY OF SEQUENCE IN EVENTS ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,157. POWER ,2. CONNECTION BETWEEN CAUSE AND EFFECT ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,158. IMPOTENCE ,2. CONNECTION BETWEEN CAUSE AND EFFECT ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,159. STRENGTH ,2. CONNECTION BETWEEN CAUSE AND EFFECT ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,160. WEAKNESS ,2. CONNECTION BETWEEN CAUSE AND EFFECT ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,161. PRODUCTION ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,162. DESTRUCTION ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,163. REPRODUCTION ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,164. PRODUCER ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,165. DESTROYER ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,166. PATERNITY ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,167. POSTERITY ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,168. PRODUCTIVENESS ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,169. UNPRODUCTIVENESS ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,170. AGENCY ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,171. PHYSICAL ENERGY ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,172. PHYSICAL INERTNESS ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,173. VIOLENCE ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,174. MODERATION ,3. POWER IN OPERATION ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,175. INFLUENCE ,4. INDIRECT POWER ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,175a. absence of influence 
,,,176. TENDENCY ,4. INDIRECT POWER ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,177. LIABILITY ,4. INDIRECT POWER ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,178. CONCURRENCE ,5. COMBINATIONS OF CAUSES ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,179. COUNTERACTION ,5. COMBINATIONS OF CAUSES ,SECTION VIII. CAUSATION ,ABSTRACT RELATIONS,
,,,180. SPACE ,1. ABSTRACT SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,180a. inextension 
,,,181. REGION ,1. ABSTRACT SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,182. PLACE ,1. ABSTRACT SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,183. SITUATION ,2. RELATIVE SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,184. LOCATION ,2. RELATIVE SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,185. DISPLACEMENT ,2. RELATIVE SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,186. PRESENCE ,3. EXISTENCE IN SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,187. ABSENCE ,3. EXISTENCE IN SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,188. INHABITANT ,3. EXISTENCE IN SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,189. ABODE ,3. EXISTENCE IN SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,190. CONTENTS ,3. EXISTENCE IN SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,191. RECEPTACLE ,3. EXISTENCE IN SPACE ,SECTION I. SPACE IN GENERAL ,SPACE,
,,,192. SIZE ,1. GENERAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,193. LITTLENESS ,1. GENERAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,194. EXPANSION ,1. GENERAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,195. CONTRACTION ,1. GENERAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,196. DISTANCE ,1. GENERAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,197. NEARNESS ,1. GENERAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,198. INTERVAL ,1. GENERAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,199. CONTIGUITY ,1. GENERAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,200. LENGTH ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,201. SHORTNESS ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,"202. BREADTH, THICKNESS ",2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,"203. NARROWNESS, THINNESS ",2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,204. LAYER ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,205. FILAMENT ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,206. HEIGHT ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,207. LOWNESS ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,208. DEPTH ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,209. SHALLOWNESS ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,210. SUMMIT ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,211. BASE ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,212. VERTICALITY ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,213. HORIZONTALITY ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,214. PENDENCY ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,215. SUPPORT ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,216. PARALLELISM ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,216a. perpendicularity 
,,,217. OBLIQUITY ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,218. INVERSION ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,219. CROSSING ,2. LINEAR DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,
,,,220. EXTERIORITY ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,221. INTERIORITY ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,222. CENTRALITY ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,223. COVERING ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,224. LINING ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,225. CLOTHING ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,226. DIVESTMENT ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,227. CIRCUMJACENCE ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,228. INTERPOSITION ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,229. CIRCUMSCRIPTION ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,230. OUTLINE ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
,,,231. EDGE ,3. CENTRICAL DIMENSIONS ,SECTION II. DIMENSIONS ,SPACE,1. General. 
